query_number,query,query_family,raw_returned,new_unique_added,cumulative_unique,citation_target_quality
1,sports betting arbitrage,topical,20,19,19,
2,surebet sports betting overround,topical,8,8,27,
3,arbitrage betting cross bookmaker,topical,20,14,41,
4,bookmaker arbitrage odds dispersion,topical,11,10,51,
5,inter-market arbitrage sports betting,topical,20,9,60,
6,bookmaker exchange arbitrage Betfair,topical,20,10,70,
7,back lay arbitrage betting exchange,topical,20,19,89,
8,dutching sports betting strategy,topical,20,20,109,
9,betting market arbitrage odds,topical,20,13,122,
10,negative overround sports betting,topical,20,13,135,
11,sports betting market efficiency arbitrage,topical,20,4,139,
12,online bookmaker price dispersion odds,topical,20,14,153,
13,betting exchange price efficiency Betfair,topical,20,10,163,
14,line movement sports betting arbitrage,topical,20,11,174,
15,stale odds sports betting,topical,20,18,192,
16,underround betting market arbitrage,topical,0,0,192,
17,overround bookmaker margin sports betting,topical,20,3,195,
18,weak semi strong efficiency sports betting,topical,20,11,206,
19,sports betting transaction costs execution,topical,20,13,219,
20,sports betting latency execution risk,topical,20,12,231,
21,partial fill betting exchange liquidity,topical,20,18,249,
22,sports order book liquidity depth,topical,20,16,265,
23,betting limits stake restrictions bookmaker,topical,20,13,278,
24,sports betting commission fee structure,topical,20,16,294,
25,betting exchange commission Betfair sports,topical,20,9,303,
26,arbitrage opportunity duration sports betting,topical,20,5,308,
27,arbitrage opportunity persistence sports market,topical,20,13,321,
28,sports betting quote synchronization timestamp,topical,7,7,328,
29,sports betting settlement risk void rules,topical,20,18,346,
30,palpable error betting bookmaker rules,topical,19,18,364,
31,prediction market arbitrage price consistency,topical,20,20,384,
32,decentralized sports betting arbitrage blockchain,topical,20,19,403,
33,blockchain sports betting oracle smart contract,topical,20,15,418,
34,automated market maker prediction market sports,topical,20,17,435,
35,on-chain prediction market arbitrage,topical,20,18,453,
36,Polymarket prediction market efficiency arbitrage,topical,20,18,471,
37,sports betting stake allocation optimization,topical,20,12,483,
38,constrained arbitrage optimization betting,topical,20,16,499,
39,integer programming stake allocation gambling,topical,20,20,519,
40,robust optimization uncertainty sports betting,topical,20,16,535,
41,linear programming sports betting kelly criterion,topical,20,12,547,
42,value betting vs arbitrage sports positive EV,topical,18,12,559,
43,matched betting bonus arbitrage sports,topical,20,8,567,
44,middling sports betting line movement hedge,topical,20,20,587,
45,sports betting hedging risk reduction,topical,20,16,603,
46,statistical arbitrage sports betting probability,topical,20,3,606,
47,football betting market efficiency overround,topical,20,1,607,
48,European football gambling arbitrage soccer,topical,20,9,616,
49,tennis betting market efficiency,topical,20,10,626,
50,horse racing betting market efficiency arbitrage,topical,20,5,631,
51,basketball betting market efficiency NBA,topical,20,10,641,
52,baseball betting market efficiency MLB,topical,20,11,652,
53,esports betting market efficiency prediction,topical,20,13,665,
54,bookmaker market structure online betting,topical,20,8,673,
55,sports betting market microstructure,topical,20,8,681,
56,asset pricing sports betting risk premium,topical,20,9,690,
57,sports betting market liquidity informed traders,topical,20,7,697,
58,bookmaker pricing model information asymmetry,topical,20,9,706,
59,sports betting void rules retirement withdrawal,topical,20,17,723,
60,cross-market equivalent bets normalization sports,topical,20,8,731,
61,correlated outcomes arbitrage sports market,topical,20,7,738,
62,currency conversion sports betting costs,topical,20,14,752,
63,sports betting account restriction limitation,topical,20,6,758,
64,anchor_inter_market_arb,anchor_title,10,0,758,
65,anchor_inter_market_arb2,anchor_title,10,4,762,
66,anchor_overround_surebets,anchor_title,8,0,762,
67,anchor_profiting_arb,anchor_title,10,0,762,
68,anchor_arb_winning,anchor_title,10,0,762,
69,anchor_betting_opportunities,anchor_title,10,7,769,
70,anchor_info_prices,anchor_title,10,8,777,
71,anchor_asset_pricing,anchor_title,10,2,779,
72,anchor_market_structure,anchor_title,10,3,782,
73,anchor_efficiency_review,anchor_title,10,0,782,
74,anchor_wisdom_crowds,anchor_title,10,3,785,
75,anchor_forecasting,anchor_title,10,3,788,
76,anchor_weak_form,anchor_title,10,0,788,
77,anchor_levitt,anchor_title,10,6,794,
78,anchor_shin,anchor_title,10,4,798,
79,"citations_of:Dementia prevention, intervention, and c",citation_expansion,15,15,813,off_topic_target
80,citations_of:2016 European Guidelines on cardiovascul,citation_expansion,15,15,828,off_topic_target
81,citations_of:2015 ESC Guidelines for the management o,citation_expansion,15,11,839,off_topic_target
82,citations_of:Deciphering the Liquidity and Credit Cru,citation_expansion,15,15,854,off_topic_target
83,citations_of:Rare Disasters and Asset Markets in the ,citation_expansion,15,14,868,off_topic_target
84,citations_of:Differences of Opinion and the Cross Sec,citation_expansion,15,14,882,off_topic_target
85,citations_of:Field Experiments,citation_expansion,15,15,897,off_topic_target
86,citations_of:… and the Cross-Section of Expected Retu,citation_expansion,15,14,911,off_topic_target
