finding_id	title	severity	primary_review_owner	owning_tranche	tranche_number	stage	campaign_order	relevant_source_paths	test_requirement_ids	required_test_classes	required_proof_environments	production_entrypoint_required	blocks_BWS_600	blocks_BWS_710	blocks_release	blocks_deployment	external_pending_status
BWS121-R10-010	The source-handoff archive includes nested environment, secret, key, and runtime-state files	P0	R10	BWS-W4-T39	39	S1	1	pull_artifacts_and_zip_codebase.sh|scripts/create-source-handoff-archive.sh|update_git.sh|zip_codebase.sh	BWS121-R10-REQ-039|BWS121-R10-REQ-040|BWS121-R10-REQ-041|BWS121-R10-REQ-042|BWS121-R10-REQ-043	persistence_or_migration|security_or_confinement|unit_or_contract	AS_SPECIFIED_BY_REVIEW	true	false	false	true	true	false
BWS121-R10-011	update_git.sh secret-path guard misses nested environment and credential directories before push	P0	R10	BWS-W4-T39	39	S1	1	pull_artifacts_and_zip_codebase.sh|scripts/create-source-handoff-archive.sh|update_git.sh|zip_codebase.sh	BWS121-R10-REQ-044|BWS121-R10-REQ-045|BWS121-R10-REQ-046|BWS121-R10-REQ-047	security_or_confinement|unit_or_contract	AS_SPECIFIED_BY_REVIEW	true	false	false	true	true	false
BWS121-R10-012	update_git.sh permanently removes all repository-local HTTP extraheader configuration	P2	R10	BWS-W4-T39	39	S1	1	pull_artifacts_and_zip_codebase.sh|scripts/create-source-handoff-archive.sh|update_git.sh|zip_codebase.sh	BWS121-R10-REQ-048|BWS121-R10-REQ-049|BWS121-R10-REQ-050|BWS121-R10-REQ-051	unit_or_contract	AS_SPECIFIED_BY_REVIEW	true	false	false	false	true	false
BWS121-R10-013	Artifact download accepts first-seen SSH host keys while sending a reusable password	P0	R10	BWS-W4-T39	39	S1	1	pull_artifacts_and_zip_codebase.sh|scripts/create-source-handoff-archive.sh|update_git.sh|zip_codebase.sh	BWS121-R10-REQ-052|BWS121-R10-REQ-053|BWS121-R10-REQ-054|BWS121-R10-REQ-055	security_or_confinement|unit_or_contract	AS_SPECIFIED_BY_REVIEW	true	false	false	true	true	false
BWS121-R10-001	Managed runtime children inherit the entire ambient process environment instead of a bounded effective configuration	P1	R10	BWS-W4-T37	37	S1	2	packages/bootstrap/src/operations/database-lifecycle.ts|packages/bootstrap/src/operations/operator-lifecycle.ts|packages/persistence/src/psql.ts|scripts/bws-root-wrapper-runtime.mjs|scripts/validate_bws_loopback_acceptance.mjs	BWS121-R10-REQ-001|BWS121-R10-REQ-002|BWS121-R10-REQ-003|BWS121-R10-REQ-004	security_or_confinement	AS_SPECIFIED_BY_REVIEW	true	true	true	true	true	false
BWS121-R10-002	The root runtime wrapper assembles one PostgreSQL tuple from mixed process and .env sources	P1	R10	BWS-W4-T37	37	S1	2	packages/bootstrap/src/operations/database-lifecycle.ts|packages/bootstrap/src/operations/operator-lifecycle.ts|packages/persistence/src/psql.ts|scripts/bws-root-wrapper-runtime.mjs|scripts/validate_bws_loopback_acceptance.mjs	BWS121-R10-REQ-005|BWS121-R10-REQ-006|BWS121-R10-REQ-007|BWS121-R10-REQ-008	assurance_or_build|unit_or_contract	AS_SPECIFIED_BY_REVIEW	true	true	true	true	true	false
BWS121-R10-003	Explicit blank runtime values are converted to absence and silently replaced by file values or defaults	P1	R10	BWS-W4-T37	37	S1	2	packages/bootstrap/src/operations/database-lifecycle.ts|packages/bootstrap/src/operations/operator-lifecycle.ts|packages/persistence/src/psql.ts|scripts/bws-root-wrapper-runtime.mjs|scripts/validate_bws_loopback_acceptance.mjs	BWS121-R10-REQ-009|BWS121-R10-REQ-010|BWS121-R10-REQ-011|BWS121-R10-REQ-012	unit_or_contract	AS_SPECIFIED_BY_REVIEW	true	true	true	true	true	false
BWS121-R10-008	PostgreSQL subprocesses inherit ambient libpq control variables	P1	R10	BWS-W4-T37	37	S1	2	packages/bootstrap/src/operations/database-lifecycle.ts|packages/bootstrap/src/operations/operator-lifecycle.ts|packages/persistence/src/psql.ts|scripts/bws-root-wrapper-runtime.mjs|scripts/validate_bws_loopback_acceptance.mjs	BWS121-R10-REQ-030|BWS121-R10-REQ-031|BWS121-R10-REQ-032|BWS121-R10-REQ-033	assurance_or_build|persistence_or_migration|security_or_confinement|unit_or_contract	AS_SPECIFIED_BY_REVIEW	true	true	true	true	true	false
BWS121-R10-004	Runtime status probes trust a mutable state-selected base URL without destination confinement	P1	R10	BWS-W4-T38	38	S1	3	cli.js|open_log.sh|package.json|packages/bootstrap/src/cli/bws-database-lifecycle.ts|packages/bootstrap/src/cli/bws-external-runtime-preflight.ts|packages/bootstrap/src/cli/bws-final-local-acceptance.ts|packages/bootstrap/src/cli/bws-release-packaging.ts|packages/bootstrap/src/cli/bws-release-upgrade.ts|packages/bootstrap/src/cli/bws-soak-campaign.ts|scripts/bws-root-wrapper-runtime.mjs	BWS121-R10-REQ-013|BWS121-R10-REQ-014|BWS121-R10-REQ-015|BWS121-R10-REQ-016|BWS121-R10-REQ-017	restart_or_recovery|unit_or_contract	AS_SPECIFIED_BY_REVIEW	true	true	false	true	true	false
BWS121-R10-005	The exported package CLI treats the caller current directory as repository authority and executes its build	P0	R10	BWS-W4-T38	38	S1	3	cli.js|open_log.sh|package.json|packages/bootstrap/src/cli/bws-database-lifecycle.ts|packages/bootstrap/src/cli/bws-external-runtime-preflight.ts|packages/bootstrap/src/cli/bws-final-local-acceptance.ts|packages/bootstrap/src/cli/bws-release-packaging.ts|packages/bootstrap/src/cli/bws-release-upgrade.ts|packages/bootstrap/src/cli/bws-soak-campaign.ts|scripts/bws-root-wrapper-runtime.mjs	BWS121-R10-REQ-018|BWS121-R10-REQ-019|BWS121-R10-REQ-020|BWS121-R10-REQ-021	assurance_or_build|security_or_confinement|unit_or_contract	AS_SPECIFIED_BY_REVIEW	true	false	false	true	true	false
BWS121-R10-006	Safety-critical CLIs silently accept unknown flags and overwrite duplicate flags	P1	R10	BWS-W4-T38	38	S1	3	cli.js|open_log.sh|package.json|packages/bootstrap/src/cli/bws-database-lifecycle.ts|packages/bootstrap/src/cli/bws-external-runtime-preflight.ts|packages/bootstrap/src/cli/bws-final-local-acceptance.ts|packages/bootstrap/src/cli/bws-release-packaging.ts|packages/bootstrap/src/cli/bws-release-upgrade.ts|packages/bootstrap/src/cli/bws-soak-campaign.ts|scripts/bws-root-wrapper-runtime.mjs	BWS121-R10-REQ-022|BWS121-R10-REQ-023|BWS121-R10-REQ-024|BWS121-R10-REQ-025	persistence_or_migration|unit_or_contract	AS_SPECIFIED_BY_REVIEW	true	true	false	true	true	false
BWS121-R10-007	Final local acceptance requires the PostgreSQL password in process arguments	P0	R10	BWS-W4-T38	38	S1	3	cli.js|open_log.sh|package.json|packages/bootstrap/src/cli/bws-database-lifecycle.ts|packages/bootstrap/src/cli/bws-external-runtime-preflight.ts|packages/bootstrap/src/cli/bws-final-local-acceptance.ts|packages/bootstrap/src/cli/bws-release-packaging.ts|packages/bootstrap/src/cli/bws-release-upgrade.ts|packages/bootstrap/src/cli/bws-soak-campaign.ts|scripts/bws-root-wrapper-runtime.mjs	BWS121-R10-REQ-026|BWS121-R10-REQ-027|BWS121-R10-REQ-028|BWS121-R10-REQ-029	concurrency_or_ownership|persistence_or_migration|security_or_confinement	AS_SPECIFIED_BY_REVIEW	true	true	false	true	true	false
BWS121-R10-009	open_log.sh accepts arbitrary out-of-repository run directories and follows selected files	P1	R10	BWS-W4-T38	38	S1	3	cli.js|open_log.sh|package.json|packages/bootstrap/src/cli/bws-database-lifecycle.ts|packages/bootstrap/src/cli/bws-external-runtime-preflight.ts|packages/bootstrap/src/cli/bws-final-local-acceptance.ts|packages/bootstrap/src/cli/bws-release-packaging.ts|packages/bootstrap/src/cli/bws-release-upgrade.ts|packages/bootstrap/src/cli/bws-soak-campaign.ts|scripts/bws-root-wrapper-runtime.mjs	BWS121-R10-REQ-034|BWS121-R10-REQ-035|BWS121-R10-REQ-036|BWS121-R10-REQ-037|BWS121-R10-REQ-038	controller_or_artifact|security_or_confinement|unit_or_contract	AS_SPECIFIED_BY_REVIEW	true	true	false	true	true	false
BWS120-R07-001	Configurable structured-log paths escape the repository and can rotate or append to out-of-bound files	P0	R07	BWS-W3-T26	26	S1	4	packages/bootstrap/src/operations/observability.ts|tests/bws-observability.test.ts	BWS120-R07-001-TEST-01|BWS120-R07-001-TEST-02|BWS120-R07-001-TEST-03|BWS120-R07-001-TEST-04|BWS120-R07-001-TEST-05	api_or_projection|security_or_confinement|unit_or_integration	NODE20_OR_LANGUAGE_NEUTRAL_OFFLINE_OR_CONTROLLED_INTEGRATION	true	true	false	true	true	false
BWS120-R07-002	Structured-log redaction misses Authorization, Cookie, API-key, header, and value-shaped secrets	P0	R07	BWS-W3-T26	26	S1	4	packages/bootstrap/src/operations/observability.ts|tests/bws-observability.test.ts	BWS120-R07-002-TEST-01|BWS120-R07-002-TEST-02|BWS120-R07-002-TEST-03|BWS120-R07-002-TEST-04|BWS120-R07-002-TEST-05|BWS120-R07-002-TEST-06	api_or_projection|security_or_confinement|unit_or_integration	NODE20_OR_LANGUAGE_NEUTRAL_OFFLINE_OR_CONTROLLED_INTEGRATION	true	true	false	true	true	false
