subtask_id,parent_task,dependency_state,depends_on,cohesive_tranche,objective,primary_areas,acceptance,validation,blockers,unchanged_areas
BWS-592-A,BWS-592,VALIDATED,BWS-589;BWS-591,soak_and_preflight,"Define deterministic soak campaign schema, checkpointing and resumable harness",packages/bootstrap/src/operations;packages/bootstrap/src/cli;schemas,"Campaign requires explicit duration, interval, max cycles, seed, mode and release fingerprint; resume rejects mismatched identity",schema tests;resume mismatch tests;bounded accelerated integration,none,external provider runtime
BWS-592-B,BWS-592,VALIDATED,BWS-592-A,soak_and_preflight,"Implement bounded failure injectors for upstream, database, scheduler, worker, API, cockpit, supervisor, backup and upgrade paths",packages/bootstrap/src/operations;tests,"Every injection is explicit, loopback or disposable, uniquely owned, recoverable and retained in evidence; no broad process kill",failure matrix tests;cleanup verification;zero provider/execution access scan,none,pre-existing services;sessions
BWS-592-C,BWS-592,VALIDATED,BWS-592-A;BWS-592-B,soak_and_preflight,Run and retain a real multi-hour closed-stack loopback soak campaign,runtime evidence;packages/bootstrap/src/operations,"Canonical server proof runs at least 2h with deterministic checkpoints, restarts, probes, metrics, database summaries and final archive hash",2h server campaign;post-campaign invariant validator;artifact checksum,needs cycle timeout greater than 2h and disposable PostgreSQL,external runtime evidence
BWS-592-D,BWS-592,VALIDATED,BWS-592-C,soak_and_preflight,"Verify cleanup, no leaked processes, no stale leases, no execution/provider access and complete evidence publication",packages/bootstrap/src/operations;tests,"All campaign-owned children exit, temporary databases and files are removed, retained evidence remains immutable and referenced",post-run ownership scan;database cleanup;artifact index validation,none,retained evidence
BWS-593-A,BWS-593,VALIDATED,BWS-592;BWS-100,soak_and_preflight,Implement exactly-one-mode accepted input preflight against the committed-HEAD upstream lock,packages/bootstrap/src/operations;packages/bootstrap/src/cli;schemas,Export mode verifies immutable path/SHA/contract/profile/generation/lineage; API mode verifies approved read-only base URL and bounded policy; no fallback,loopback export/API fixtures;mismatch matrix;no provider credentials,operator-approved external input is not needed for local implementation,provider endpoints;provider credentials
BWS-593-B,BWS-593,VALIDATED,BWS-593-A,soak_and_preflight,"Validate private database, loopback service, release, backup, evidence storage and closed-boundary configuration presence",packages/bootstrap/src/operations,"Output contains keys and status only, never secret values or complete URLs; partial config fails closed",redaction tests;partial configuration matrix,none,.env contents
BWS-593-C,BWS-593,VALIDATED,BWS-593-A;BWS-593-B,soak_and_preflight,Generate bws.external_runtime_campaign.v1 manifest and semantic fingerprint,packages/bootstrap/src/operations;packages/bootstrap/src/cli;schemas,"Manifest is deterministic, exact-mode, exact-release, exact-lock and references retained backup/soak evidence; check-only starts no campaign",manifest determinism;tamper tests;no-start proof,real BWS-600 run remains externally blocked,BWS-600 evidence
BWS-599-A,BWS-599,VALIDATED,BWS-593,final_acceptance,"Create a clean release extraction and run install, preflight, migration and exact source/upstream verification",scripts;tests;packages/bootstrap/src/operations,"Fresh extraction is self-contained, secret-free and checksum-clean; disposable database setup and cleanup pass",clean-room acceptance stage 1,requires disposable PostgreSQL test access,active release
BWS-599-B,BWS-599,VALIDATED,BWS-599-A,final_acceptance,"Run full-stack start, status, progress, logs, paper evaluation and bounded paper-autopilot source-fix/re-evaluation proof",tests;root wrappers;paper controllers,"Exact repo-owned lifecycle remains loopback-only, parent-only Telegram contract is preserved and no unrelated process is touched",clean-room acceptance stage 2;child ownership proof,none,unrelated services
BWS-599-C,BWS-599,VALIDATED,BWS-599-B,final_acceptance,"Run backup, restore verification, upgrade, rollback decision and interrupted recovery proof",tests;packages/bootstrap/src/operations,All recovery paths use disposable targets and exact release identities; unsafe rollback blocks truthfully,clean-room acceptance stage 3,requires disposable PostgreSQL test access,persistent project database
BWS-599-D,BWS-599,VALIDATED,BWS-599-C;BWS-592;BWS-593,final_acceptance,"Bind soak, failure recovery, release, runtime and BWS-600 handoff evidence into final local acceptance",packages/bootstrap/src/operations;schemas;tests,"Single immutable acceptance manifest references every proof, verifies cleanup, keeps execution/provider access closed and advances ledger only after npm run validate",clean-room acceptance stage 4;manifest parity;npm run validate,none,BWS-600 remains external
